1,"[ 3.3174849   2.7792292   2.8663936  -1.7709094  -1.4113894   3.2184317
 -0.27151564  2.3869102   1.5226533   2.7775445  -1.7758434  -0.17388318
  0.3208367  -0.24986306 -2.5064971  -0.47082737  1.4417472  -0.78306144
 -0.6093447  -0.4702713   1.9351718   0.5461421   3.2721877   1.7606852
 -0.4050927  -1.1271544   0.4434969   1.4343075  -2.0687609  -0.9085987
  0.2349133   0.4885472  -1.1156255  -1.0577285  -0.7849939  -0.7231464
  0.2914127   1.3507786  -0.85065866  0.6001252   0.10466962 -1.3937562
 -0.45480582 -1.0246397   1.6863073  -0.1889459   0.46069962 -2.0255728
 -0.27845156 -1.1693617   0.91458875 -0.02427001 -0.23061801  0.12159514
  1.343409    0.4022303   0.18862201 -0.8893256  -0.2997784   1.387764
  0.21185604 -0.45922205  0.46853742 -0.09345779  0.04380354 -0.22336675
  0.60889435  0.12168385  1.7052063   0.931847    0.05521848 -0.35432658
 -0.52541965 -0.18909776  0.5597034  -0.27607432  0.02604924 -0.3576819
 -0.23928957  0.14189367 -0.11747296 -0.62202966  0.4590235  -0.20417722
  0.37283176  0.02188805 -0.42257684  0.49297035 -0.0775737   0.05725403
  1.0023681 ]"
2,"[ 2.1800685   4.9933677  -0.01823873  0.21417227 -2.125829   -3.6168776
  1.445987   -1.949389    0.8770167  -4.7580075  -1.4305832  -0.26634553
 -1.5592495  -0.22337085  0.88907284  0.10242353  1.5339386   2.151226
 -1.3386601  -1.1075916   1.226261    1.2902737  -0.10802093 -1.423262
 -0.53436303 -1.6808735   2.6693134  -2.3743176  -0.03662737  1.5349766
 -0.85080165 -0.3885113   1.2149744  -0.97426605 -0.30940223  0.12397051
 -0.3484433   0.57495487  0.8570376   1.8440654   0.99046385 -0.49585438
  0.10236686  0.26779997 -0.5780783   0.42359427 -1.0483887  -0.06754897
  1.6757935  -0.9630147   0.07936515 -0.6919101  -1.1600168   0.45064473
 -0.6296078  -0.0545972   0.3233591  -0.49999973  1.7021334   0.0161042
  0.63618964 -0.84993196 -0.38770658  0.02052482 -0.66131365 -0.25087947
  1.3355659  -1.2471979   0.33044288 -0.39631104 -0.4565808  -0.05554355
 -0.4491057  -0.21897309  0.04024285 -0.7189711  -0.3795786   0.833802
  0.15231523 -0.5060385  -0.04405285 -0.1505017   0.6269186   0.4085323
  0.2517104  -0.12215254 -0.02747418 -0.3356053  -0.08954421 -0.31632912
 -0.48741665]"
3,"[ 2.2715938   3.0525367  -2.4193215  -0.30717933  0.03370568  0.19488145
  0.36808217 -1.4857024  -2.083216    0.89234465 -1.3824421  -1.3811724
 -0.83478963  0.08959607 -0.9382496   0.5699479  -0.4434967   2.7485218
  3.762166    0.07516331  0.16193616  0.09020536  0.11678647 -0.22816359
  0.86103016 -1.4255282  -0.26123905  1.1634992   1.0793235  -0.46115658
  2.4459226   1.0052612  -0.3501924   0.1996144  -1.2068636   0.25679109
  0.17292395 -1.2759621   0.31254375 -0.96422774  0.20924875 -0.6048426
  0.11313731  0.4128534   0.04675911 -0.93718654  2.2273111   0.45935607
  0.2778816  -1.3855706   0.06540804 -0.2521761  -1.6201004  -0.7280817
  0.9309372   1.2209108   1.2621233   0.4113774  -0.11681434 -0.17911804
 -0.6960117  -0.18779415 -0.15005846 -0.5864588   1.3599205   0.7114275
  0.14620526  0.9190504   0.08919939  0.13496257  0.3849559   0.2465165
 -0.26430017  0.5051319   0.05151661 -0.8883223  -0.52949095 -0.24972072
  1.0233754   0.29510856 -0.7935952   0.02066688 -0.12982225 -0.4943081
 -0.6575344   0.24895063  0.5667229  -0.2659891  -0.29903656  0.76942486
  0.09838858]"
4,"[ 3.5531149e+00 -5.5470905e+00 -9.0004750e-02  3.3548667e+00
 -2.1313067e-01 -2.5821436e-02  1.8052922e+00  2.2252331e+00
 -9.6280515e-01  3.8496819e-01  1.3303869e+00 -1.1286649e+00
  2.2336888e+00 -2.1858525e-01 -2.4159715e+00  1.6367176e+00
  1.9080710e+00  1.6246724e+00 -9.4003606e-01  2.0397224e+00
  3.7525499e-01  1.0587021e+00  8.4095907e-01  1.5144756e+00
 -1.2112734e+00  1.2417218e-02  2.4429009e+00  6.9828749e-01
  3.2981110e-01 -3.0132499e-01  9.6208972e-01  9.5497632e-01
  8.5506201e-01  2.5128262e+00 -5.7230830e-01  3.7373102e-01
  3.2194704e-01 -8.7480873e-02  3.5707977e-01  1.5856820e+00
 -1.9406289e-01 -1.0136204e+00 -5.7594472e-01  1.1373671e+00
 -3.8913995e-01  3.4819034e-01  3.6392115e-02 -1.8528081e-01
 -2.2087064e-01  1.3148214e+00 -4.1465056e-01 -2.6201466e-01
 -8.0269444e-01  1.0107738e+00 -2.4154650e-03 -7.2716349e-01
  1.0569962e+00 -4.6503685e-02 -6.8346834e-01 -4.5112523e-01
 -2.7339980e-01 -4.2427531e-01  5.3950671e-02  4.7657317e-01
 -6.3335294e-01 -5.2680284e-01 -3.6773291e-01 -2.6391751e-01
  2.0150834e-01 -6.4148307e-01  7.7218884e-01  2.5848028e-01
 -6.0185242e-02  1.1433489e-01  6.5523535e-02  5.4925674e-01
  5.5888915e-01  6.8571877e-01  7.9996598e-01 -6.2200189e-01
 -2.6382277e-02 -4.2665759e-01  6.6126806e-01 -5.9044558e-01
  4.1650063e-01 -3.8053817e-01 -1.1391877e+00 -2.9652306e-01
 -7.8839902e-03  8.3085746e-02 -9.8218316e-01]"
5,"[ 0.8906849  -3.1887286  -5.7330236   2.3084285   1.6540633   1.1337672
 -0.77695256  1.670749   -0.17260207  2.4367588  -2.2081866  -1.6535091
 -1.3471966   1.7604964  -1.1919636   1.364574    2.819184    0.68322915
 -1.8218396  -0.69293576 -0.16760035  1.3502164  -2.4773726  -0.22344139
  0.5140925   0.52202034  0.6659939   0.33493084 -0.13051383 -0.6530111
  0.3791757   0.8514042   1.6659808   0.11897933  0.08543684  0.31341866
  1.0090157   0.04387121 -0.37487447  0.06160108 -0.21904969 -0.58990574
 -0.1117461  -0.5327366   1.1655617  -0.93271667 -0.5405787  -0.8761116
  1.1620543  -0.95882463  0.7615661  -0.94910234  0.23762915  0.8045126
  0.16285378  0.1347303   0.65120137  0.5630207   0.71278375  0.37731743
 -0.5811224   0.3694061  -0.18818499  0.47180504 -0.09117553  0.13666503
 -0.7251927  -0.43039462  0.7020092  -0.33331662  0.3555933  -0.09797743
 -0.4174053  -0.38869014  0.18266374  0.17835657  0.335017    1.0377501
 -0.534417    0.00582249  0.47855416 -0.39082393  0.17429051  0.2403104
  0.32471067 -0.1162733  -0.13198487  0.24701841 -0.7250624   0.11530686
 -0.38685268]"
6,"[-2.2561326e+00 -4.0312472e-01 -4.1517835e+00 -1.9500242e+00
 -1.1235062e+00  1.6692604e+00  1.7799046e+00 -1.6906580e+00
 -5.3048843e-01 -1.6134665e+00 -1.1374025e+00 -9.1314353e-02
  1.6691415e+00 -2.2970529e+00 -1.1652126e+00  2.4287400e-01
  3.0056033e-01  2.1485713e+00  2.5004349e+00 -1.7299111e+00
 -1.1148183e-01  3.9300840e+00 -3.1977734e-01 -1.3696307e-01
 -1.0396551e+00 -2.3479749e-01 -1.9294873e+00  2.3598768e-01
  3.6487618e-01 -6.1737674e-01  1.8579769e+00  9.2623544e-01
  3.0968171e-01 -1.0015226e-01  6.4624679e-01 -8.1752189e-02
 -8.1764269e-01  1.0024320e+00 -8.5994983e-01  8.6098433e-01
  1.0801363e+00 -4.6655017e-01  4.1658232e-01 -2.3466980e-01
 -6.4723156e-02 -1.1334680e+00  3.0820656e-01  6.3372606e-01
  2.5200135e-01 -5.9758866e-01 -1.5766958e+00  2.4953426e-01
 -3.0307826e-01  1.0203859e+00  4.4152501e-01 -1.4863449e+00
  1.5165998e-01 -8.6409003e-01 -7.6118171e-02 -4.1088915e-05
 -9.6684203e-02  1.1415507e-01 -3.9172909e-01  6.2283522e-01
  1.3567624e+00  3.5574207e-01  6.2662506e-01 -1.0515654e+00
  1.0755637e+00  6.6278338e-01 -4.5218727e-01  1.0319461e+00
 -3.8181344e-01  1.6620196e-01  8.2475615e-01  4.5195827e-01
 -3.5330498e-01  5.1540685e-01 -4.3874574e-01  2.7978653e-01
  3.4594618e-02  6.8042940e-01  6.0232514e-01 -6.2041682e-01
 -1.7075861e-01  6.2057370e-01 -1.0351777e-01 -7.2279799e-01
  3.3153799e-01 -1.6779825e-01  5.0815329e-02]"
7,"[ 5.4306064e+00 -3.5705602e-01 -2.7053304e+00 -6.4767814e+00
  5.6839114e-01 -3.5960267e+00 -8.0938834e-01  1.9725204e-01
 -9.4886535e-01 -6.2822312e-01  1.2684201e+00  6.3945174e-01
 -2.6518387e-01 -2.1002407e+00  1.0778806e+00 -1.8829669e+00
  2.0848465e+00 -1.7181885e+00 -8.6725694e-01 -1.3291689e+00
 -6.8481781e-02 -8.9396691e-01 -1.6625762e+00 -2.7219069e+00
  2.6543611e-01 -4.3046874e-01  1.3768870e+00  7.3641318e-01
 -1.2941018e+00  7.1017936e-02 -1.1526372e+00 -7.4303931e-01
 -7.7611208e-01 -1.5701231e+00 -6.9720417e-01 -3.0974218e-01
 -9.9017495e-01  1.4375488e+00 -1.0598164e+00  2.1024175e-02
  1.5227591e+00 -6.7501289e-01  3.4744900e-01 -8.2943714e-01
 -1.8088530e-01  2.4157833e-01 -3.2579315e-01  8.7639123e-01
  2.7182823e-01  4.7415200e-01 -3.7376228e-01  5.2852166e-01
 -1.1910095e+00  4.3022421e-01 -1.7194751e-01  1.9517717e-01
  1.8073471e+00 -1.2285881e+00  8.5986048e-01  2.4929732e-01
 -5.2128989e-01 -7.9486668e-01  6.7111969e-01 -4.0444138e-04
 -4.4477281e-01 -4.8119622e-01 -2.6333278e-02 -1.4186548e-01
  3.1078297e-01 -5.9959167e-01 -8.8236168e-02  4.5566168e-01
 -6.2901413e-01  1.3393526e-01  2.3222056e-01  1.0698735e-01
  1.8817954e-01 -5.6602919e-01 -6.2676454e-01 -1.8352719e-02
 -1.4752956e-01 -1.6042122e-01  3.9425600e-01 -1.2450314e-01
  2.2151787e-02  1.4782442e-01  1.5506056e-01 -2.9615733e-01
  5.6060117e-01  2.3749180e-01  2.4793527e-01]"
8,"[-2.56781960e+00  5.58584392e-01 -8.92811000e-01 -2.28481364e+00
 -1.68968713e+00  3.55599403e+00  2.07873487e+00  5.08233261e+00
 -1.22569907e+00 -1.38008022e+00 -3.03495383e+00  3.63123184e-03
  1.44751251e+00  2.38049150e+00  2.18764171e-01  4.66964054e+00
  1.75307572e+00 -3.86423051e-01  7.39678502e-01 -6.54027909e-02
  1.35209322e+00 -1.07922101e+00  2.46447659e+00 -8.74934256e-01
 -8.44133198e-01  7.09642470e-01 -6.77790999e-01  5.77275276e-01
  7.37758338e-01 -7.90870726e-01  2.65675317e-03 -8.45790684e-01
  1.36733925e+00 -4.77233529e-01  2.05065273e-02  1.71464682e-01
 -1.51831582e-01  1.83917069e+00 -1.14714575e+00  5.96973486e-03
 -1.41159868e+00  1.05270648e+00 -1.98900253e-01 -3.01450402e-01
  8.77359092e-01  1.27585948e+00 -2.95557469e-01 -1.20755661e+00
  4.54943962e-02  6.43608272e-02  8.03267434e-02  3.80035527e-02
  7.38570273e-01 -1.29812944e+00 -2.30083749e-01 -6.29826963e-01
  7.47727394e-01  7.23483860e-01  3.55376095e-01 -4.55571264e-01
 -4.97190595e-01 -4.14591908e-01  2.08888069e-01 -9.58127081e-01
 -6.43017292e-01 -2.38108605e-01 -5.74061692e-01 -1.48234475e+00
  4.93423879e-01  5.97150743e-01 -3.83286387e-01  2.69566327e-01
  7.54499137e-01  4.93526787e-01  2.31815115e-01  6.92937016e-01
 -7.45686650e-01 -2.24539995e-01 -2.91594684e-01  6.89172387e-01
 -1.02239704e+00 -1.55979112e-01 -2.93409079e-01  5.60509622e-01
  2.17406601e-01  4.08528298e-01  6.97687045e-02 -1.15218386e-01
 -3.90271097e-01 -5.09401441e-01  2.66428620e-01]"
9,"[-4.156978    3.4292035   2.530931   -5.217139    1.3791033  -1.6963471
  2.4310033  -0.47631043  0.33529708 -0.21117918 -0.5656997   1.5879624
 -0.65568906  0.1994291  -0.14997135  1.8312573  -0.45154092  1.1425592
 -1.4289544  -1.4651574   1.221749    1.2037679  -0.6656949  -1.0229914
 -2.6666925  -0.5040396  -2.318456    1.2167283   0.8512575  -2.1211548
  0.3542263  -0.121116   -0.55637085 -1.0199215  -0.34997237  1.7422806
 -0.33250743  0.5107329  -0.20589945 -0.55508554 -0.6272648   0.42045605
  1.1967112  -0.65769166 -0.86858577 -1.0530059   0.03774541 -0.7828604
 -1.6475912   0.57925594  0.42780563  1.2917019  -0.93142486  0.48145258
 -0.4792086   0.50618863  0.6448106  -0.5850142  -0.0092945  -0.17212778
 -0.46908772  0.11064018  0.501492   -0.3914825   0.08632105  0.6934302
  0.10022    -1.1695638  -0.06936136 -0.21500756  0.03902821  0.93933564
  0.82114416  0.9243512  -0.12103534  0.793407    0.01902922  0.25123522
  0.72995454 -0.07226811  0.11293884 -0.09272227 -0.3710765   0.8558293
  0.03681995  0.587055   -0.26493078 -0.09377353 -0.27778974  0.1795619
 -0.23180397]"
10,"[-5.3565598e+00 -1.8268839e+00  3.2827625e+00 -1.5803879e-01
  4.1347120e-02  2.4644210e+00  4.2776760e-02 -2.5643997e+00
  8.6826777e-01 -4.0665402e+00 -1.0684488e+00  9.8287231e-01
  7.3888737e-01  1.0620739e+00 -1.8921655e+00 -2.6052067e+00
 -9.7245860e-01 -1.9116674e-01 -1.5219927e+00 -8.4162302e-02
  9.3038779e-01  3.9549586e-01 -1.9372679e-01 -9.5274842e-01
 -7.7208847e-01 -7.1934469e-02  1.3591756e+00 -1.3044213e+00
  2.4845000e-01  9.1829818e-01  4.7209155e-02 -9.2093092e-01
  1.9297278e-01  1.4042762e-02 -9.6831852e-01  1.7735864e+00
  5.2538878e-01  1.1076937e+00 -1.6831673e+00  1.5065277e-02
 -1.5998057e+00  1.1520158e+00 -1.4021767e+00 -8.4001720e-02
  2.0654079e-01 -4.6062374e-01  9.1017359e-01  7.8108841e-01
 -8.9554965e-02 -2.9671517e-01  1.1347377e+00  1.3836074e+00
 -7.1224648e-01  1.7411119e-01  1.4708270e-01 -2.4002804e-01
  3.2692865e-01 -8.6917549e-01 -4.8526821e-01 -6.2683034e-01
  3.0777204e-01 -6.6483402e-01  5.9543084e-02 -5.1728681e-02
  3.1020641e-01  7.5900513e-01 -3.1687924e-01  3.6731878e-01
 -3.9861560e-01 -4.7365001e-01  3.1458336e-01  1.0986897e+00
  6.4885288e-01  4.9142262e-01 -6.5408289e-01 -5.9677511e-02
  3.6493587e-01 -8.5395300e-01  4.4766575e-02 -5.5780298e-01
  2.8745613e-01 -1.1651688e-01 -2.3224872e-01  1.0449265e-01
 -1.5649831e-01  4.9588886e-01 -5.9579057e-01  1.5023555e+00
 -9.9179521e-02 -1.9930926e-01  4.9007102e-04]"
