num,type,position,size,angle,response,octave,class_id
example = ,< cv2.KeyPoint 000001D3F5BA36F0>
0,<class 'cv2.KeyPoint'>,"(6.524172782897949, 576.5949096679688)",6.3164801597595215,288.80126953125,0.006425234489142895,5,-1
1,<class 'cv2.KeyPoint'>,"(6.633048057556152, 375.80755615234375)",6.218321800231934,176.02073669433594,0.006613763514906168,5,-1
2,<class 'cv2.KeyPoint'>,"(7.62522029876709, 733.840087890625)",5.884764671325684,251.50502014160156,0.01014651544392109,4,-1
3,<class 'cv2.KeyPoint'>,"(10.422590255737305, 402.22357177734375)",8.524947166442871,161.97616577148438,0.008575177751481533,2,-1
4,<class 'cv2.KeyPoint'>,"(10.422590255737305, 402.22357177734375)",8.524947166442871,336.67437744140625,0.008575177751481533,2,-1
5,<class 'cv2.KeyPoint'>,"(10.684072494506836, 324.788818359375)",8.189513206481934,346.4909362792969,0.007074535358697176,2,-1
6,<class 'cv2.KeyPoint'>,"(11.879199028015137, 518.7566528320312)",5.335599899291992,304.86334228515625,0.0063163540326058865,4,-1
7,<class 'cv2.KeyPoint'>,"(12.672279357910156, 463.08551025390625)",7.291038513183594,132.6314697265625,0.0063974508084356785,1,-1
8,<class 'cv2.KeyPoint'>,"(12.672279357910156, 463.08551025390625)",7.291038513183594,276.704345703125,0.0063974508084356785,1,-1
9,<class 'cv2.KeyPoint'>,"(13.28386116027832, 368.876220703125)",6.786361217498779,176.51400756835938,0.006281510926783085,5,-1
10,<class 'cv2.KeyPoint'>,"(13.28386116027832, 368.876220703125)",6.786361217498779,318.4254455566406,0.006281510926783085,5,-1
11,<class 'cv2.KeyPoint'>,"(14.719736099243164, 453.5965881347656)",6.250485897064209,273.0728454589844,0.00784153863787651,5,-1
12,<class 'cv2.KeyPoint'>,"(16.35409927368164, 737.7584838867188)",6.65584135055542,300.5804138183594,0.012781662866473198,5,-1
13,<class 'cv2.KeyPoint'>,"(16.7800235748291, 78.49732208251953)",6.18290901184082,154.5438995361328,0.006114164832979441,5,-1
14,<class 'cv2.KeyPoint'>,"(17.32444953918457, 536.611328125)",7.554245948791504,348.3782958984375,0.007242927793413401,1,-1
15,<class 'cv2.KeyPoint'>,"(17.325294494628906, 431.4488525390625)",12.35169506072998,298.11126708984375,0.010270371101796627,5,-1
16,<class 'cv2.KeyPoint'>,"(19.218002319335938, 133.05824279785156)",6.7540459632873535,188.83523559570312,0.00683496193960309,5,-1
17,<class 'cv2.KeyPoint'>,"(19.218002319335938, 133.05824279785156)",6.7540459632873535,316.2936096191406,0.00683496193960309,5,-1
18,<class 'cv2.KeyPoint'>,"(19.552539825439453, 345.6005554199219)",11.623504638671875,143.25193786621094,0.007452011574059725,4,-1
19,<class 'cv2.KeyPoint'>,"(19.552539825439453, 345.6005554199219)",11.623504638671875,188.23793029785156,0.007452011574059725,4,-1
20,<class 'cv2.KeyPoint'>,"(19.643882751464844, 445.21478271484375)",6.8376970291137695,279.4719543457031,0.00819368939846754,5,-1
21,<class 'cv2.KeyPoint'>,"(22.042274475097656, 552.0646362304688)",7.918740272521973,157.5031280517578,0.007408129051327705,2,-1
22,<class 'cv2.KeyPoint'>,"(22.042274475097656, 552.0646362304688)",7.918740272521973,350.3500061035156,0.007408129051327705,2,-1
23,<class 'cv2.KeyPoint'>,"(23.573532104492188, 232.93907165527344)",5.39138126373291,126.47187805175781,0.006011741701513529,4,-1
24,<class 'cv2.KeyPoint'>,"(23.670846939086914, 170.33412170410156)",6.008633613586426,240.03890991210938,0.006582012865692377,5,-1
25,<class 'cv2.KeyPoint'>,"(23.852251052856445, 366.50201416015625)",9.381410598754883,179.8501739501953,0.0071199676021933556,3,-1
26,<class 'cv2.KeyPoint'>,"(23.852251052856445, 366.50201416015625)",9.381410598754883,244.30313110351562,0.0071199676021933556,3,-1
27,<class 'cv2.KeyPoint'>,"(24.373579025268555, 513.7949829101562)",6.021613597869873,276.9014892578125,0.007994360290467739,5,-1
28,<class 'cv2.KeyPoint'>,"(24.93254852294922, 727.44921875)",7.790475368499756,73.27325439453125,0.014805366285145283,1,-1
29,<class 'cv2.KeyPoint'>,"(24.93254852294922, 727.44921875)",7.790475368499756,244.67433166503906,0.014805366285145283,1,-1
30,<class 'cv2.KeyPoint'>,"(25.498140335083008, 740.5194091796875)",10.9054594039917,311.3611145019531,0.014688602648675442,4,-1
31,<class 'cv2.KeyPoint'>,"(25.55729866027832, 703.8079833984375)",10.789665222167969,62.89337158203125,0.00909550953656435,4,-1
32,<class 'cv2.KeyPoint'>,"(25.608928680419922, 414.33563232421875)",7.180466651916504,154.75477600097656,0.006517602130770683,1,-1
33,<class 'cv2.KeyPoint'>,"(28.27653694152832, 128.01171875)",6.626734256744385,242.08477783203125,0.006934239994734526,5,-1
34,<class 'cv2.KeyPoint'>,"(28.71318817138672, 390.3105773925781)",6.955481052398682,146.73574829101562,0.006390086840838194,1,-1
