num,type,distance,trainIdx,queryIdx,imgIdx
example = ,< cv2.DMatch 00000166543AC1F0>
1,<class 'cv2.DMatch'>,155.55062866210938,1,548,0
2,<class 'cv2.DMatch'>,158.95912170410156,15,504,0
3,<class 'cv2.DMatch'>,169.31922912597656,15,149,0
4,<class 'cv2.DMatch'>,169.5435028076172,15,477,0
5,<class 'cv2.DMatch'>,170.8976287841797,7,109,0
6,<class 'cv2.DMatch'>,175.1884765625,4,80,0
7,<class 'cv2.DMatch'>,180.50485229492188,4,434,0
8,<class 'cv2.DMatch'>,181.09666442871094,4,71,0
9,<class 'cv2.DMatch'>,185.4022674560547,18,497,0
10,<class 'cv2.DMatch'>,190.0999755859375,14,38,0
11,<class 'cv2.DMatch'>,191.4523468017578,4,509,0
12,<class 'cv2.DMatch'>,191.85411071777344,26,166,0
13,<class 'cv2.DMatch'>,192.2498321533203,26,514,0
14,<class 'cv2.DMatch'>,195.17684936523438,11,150,0
15,<class 'cv2.DMatch'>,196.4281005859375,18,92,0
16,<class 'cv2.DMatch'>,199.1632537841797,28,159,0
17,<class 'cv2.DMatch'>,200.83575439453125,26,41,0
18,<class 'cv2.DMatch'>,205.32656860351562,24,977,0
19,<class 'cv2.DMatch'>,212.20509338378906,15,605,0
20,<class 'cv2.DMatch'>,214.48776245117188,28,558,0
21,<class 'cv2.DMatch'>,215.47621154785156,1,131,0
22,<class 'cv2.DMatch'>,215.66409301757812,1,144,0
23,<class 'cv2.DMatch'>,222.5780792236328,25,269,0
24,<class 'cv2.DMatch'>,225.84950256347656,15,158,0
25,<class 'cv2.DMatch'>,226.9515380859375,4,974,0
26,<class 'cv2.DMatch'>,229.09605407714844,1,213,0
27,<class 'cv2.DMatch'>,236.65164184570312,18,134,0
28,<class 'cv2.DMatch'>,238.67550659179688,17,487,0
29,<class 'cv2.DMatch'>,238.73416137695312,14,467,0
30,<class 'cv2.DMatch'>,238.84095764160156,15,982,0
31,<class 'cv2.DMatch'>,240.9522705078125,11,1192,0
32,<class 'cv2.DMatch'>,241.0891876220703,24,954,0
33,<class 'cv2.DMatch'>,242.05165100097656,18,250,0
34,<class 'cv2.DMatch'>,242.07437133789062,25,323,0
35,<class 'cv2.DMatch'>,244.6548614501953,19,623,0
36,<class 'cv2.DMatch'>,245.21011352539062,19,498,0
37,<class 'cv2.DMatch'>,246.60089111328125,11,212,0
38,<class 'cv2.DMatch'>,247.507568359375,21,141,0
39,<class 'cv2.DMatch'>,248.0886993408203,26,936,0
40,<class 'cv2.DMatch'>,251.10157775878906,4,75,0
41,<class 'cv2.DMatch'>,251.51937866210938,28,539,0
42,<class 'cv2.DMatch'>,252.07736206054688,19,616,0
43,<class 'cv2.DMatch'>,252.97035217285156,20,129,0
44,<class 'cv2.DMatch'>,255.13525390625,19,161,0
45,<class 'cv2.DMatch'>,257.26055908203125,13,177,0
46,<class 'cv2.DMatch'>,257.9263610839844,18,65,0
47,<class 'cv2.DMatch'>,259.0077209472656,11,1008,0
48,<class 'cv2.DMatch'>,260.73358154296875,15,282,0
49,<class 'cv2.DMatch'>,261.50335693359375,26,508,0
50,<class 'cv2.DMatch'>,261.6180419921875,24,190,0
51,<class 'cv2.DMatch'>,262.13165283203125,4,201,0
52,<class 'cv2.DMatch'>,262.5052490234375,29,486,0
53,<class 'cv2.DMatch'>,263.1558532714844,15,578,0
