num,type,distance,trainIdx,queryIdx,imgIdx
example = ,"(< cv2.DMatch 000001D5E7F49C30>, < cv2.DMatch 000001D5E7F49C50>)"
1,<class 'cv2.DMatch'>,492.5728454589844,10,0,0
2,<class 'cv2.DMatch'>,495.11212158203125,20,0,1
3,<class 'cv2.DMatch'>,376.25921630859375,10,1,0
4,<class 'cv2.DMatch'>,403.7189636230469,7,1,1
5,<class 'cv2.DMatch'>,367.9048767089844,10,2,0
6,<class 'cv2.DMatch'>,395.8585510253906,6,2,1
7,<class 'cv2.DMatch'>,400.14495849609375,26,3,0
8,<class 'cv2.DMatch'>,420.76953125,20,3,1
9,<class 'cv2.DMatch'>,335.0805969238281,18,4,0
10,<class 'cv2.DMatch'>,385.63714599609375,7,4,1
11,<class 'cv2.DMatch'>,298.368896484375,18,5,0
12,<class 'cv2.DMatch'>,362.779541015625,24,5,1
13,<class 'cv2.DMatch'>,327.8505859375,10,6,0
14,<class 'cv2.DMatch'>,396.5312194824219,18,6,1
15,<class 'cv2.DMatch'>,342.79876708984375,13,7,0
16,<class 'cv2.DMatch'>,358.6153869628906,16,7,1
17,<class 'cv2.DMatch'>,414.307861328125,23,8,0
18,<class 'cv2.DMatch'>,431.1229553222656,24,8,1
19,<class 'cv2.DMatch'>,455.2998962402344,7,9,0
20,<class 'cv2.DMatch'>,458.2008361816406,10,9,1
21,<class 'cv2.DMatch'>,338.762451171875,10,10,0
22,<class 'cv2.DMatch'>,461.4303894042969,7,10,1
23,<class 'cv2.DMatch'>,353.205322265625,6,11,0
24,<class 'cv2.DMatch'>,418.6239318847656,22,11,1
25,<class 'cv2.DMatch'>,362.4361877441406,24,12,0
26,<class 'cv2.DMatch'>,394.3298034667969,7,12,1
27,<class 'cv2.DMatch'>,235.14463806152344,10,13,0
28,<class 'cv2.DMatch'>,408.4005432128906,7,13,1
29,<class 'cv2.DMatch'>,438.4050598144531,24,14,0
30,<class 'cv2.DMatch'>,480.0583190917969,12,14,1
31,<class 'cv2.DMatch'>,337.853515625,10,15,0
32,<class 'cv2.DMatch'>,435.5467834472656,6,15,1
33,<class 'cv2.DMatch'>,384.1926574707031,16,16,0
34,<class 'cv2.DMatch'>,392.06378173828125,13,16,1
35,<class 'cv2.DMatch'>,440.7550354003906,23,17,0
